iter	Passed	Remaining
0	0	61
1	1	55
2	1	56
3	2	50
4	2	48
5	3	47
6	3	46
7	4	46
8	4	46
9	5	45
10	5	46
11	6	46
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	43
18	9	42
19	10	41
20	11	41
21	11	40
22	11	40
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	21	28
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
